city,Country,Region,tier,Monthly_Budget_Single_EUR,Monthly_Budget_Single,Internet_Avg_Mbps,Internet_Reliability_Score,Coworking_Availability,Cafe_Work_Culture_Score,Public_Transport_Score,Bike_Friendly_Score,Walkability_Score,Airport,Flight_Connections_Score,Avg_Temp_Winter_C,Winter_Temperature,Avg_Temp_Summer_C,Summer_Temperature,Rainy_Days_Year,Rainfall_Level,Sunshine_Hours_Year,Sunshine_Level,Air_Quality_Score,Expat_Community_Size,Nomad_Community_Score,English_Proficiency_Score,Singles_Vibe_Score,Nightlife_Score,Dating_Scene_Score,Family_Friendly_Score,Healthcare_Quality_Score,Safety_Score,Coffee_Culture_Score,Restaurant_Diversity_Score,Vegan_Friendly_Score,Fitness_Scene_Score,Outdoor_Activities_Score,Cultural_Events_Score,Startup_Scene_Score,Tech_Jobs_Score,Freelancer_Network_Score,Vibe_Tags,Avg_Temp_Spring_C,Avg_Temp_Autumn_C,Coworking_Monthly_EUR,Airbnb_Avg_Monthly_EUR,Rental_Access_Score,Meal_Budget_Daily_EUR,Transport_Monthly_EUR,LGBTQ_Friendliness_Score,Pet_Friendly_Score,Green_Space_Score,Noise_Level_Score,Population,Digital_Nomad_Visa,Visa_Type,Visa_Duration,Visa_Income_Req_EUR,Visa_Score,Schengen
Munich,Germany,Western Europe,free,2000,Expensive,150-300,Excellent,Many,Good,Excellent,Excellent,Excellent,MUC - Franz Josef Strauss,Excellent,-1,Cold,23,Mild,90,Moderate,1755,Moderate Sunshine,Average,Large,Excellent,Excellent,Good,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Good,Excellent,Good,Excellent,"Beer Gardens, Oktoberfest, Quality of Life, Alps, Expensive, Clean, Efficient",11,10,280,2200,Good,28,57,Excellent,Excellent,Excellent,Medium,1511628,No,Freiberufler Visa,1-3 years,4500,Moderate,Schengen Area
Vienna,Austria,Western Europe,free,1800,Expensive,100-200,Excellent,Many,Excellent,Excellent,Excellent,Excellent,VIE - Vienna International,Excellent,0,Cold,25,Warm,90,Moderate,1992,Good Sunshine,Average,Large,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Good,Good,Good,"Classical Music, Coffee Houses, Imperial, Quality of Life, Culture, Elegant",13,12,230,1700,Good,25,52,Excellent,Excellent,Excellent,Low,1931593,No,Red-White-Red Card,2 years,0,Moderate,Schengen Area
Malta,Malta,Southern Europe,free,1600,Moderate,100-200,Good,Few,Good,Average,Average,Good,MLA - Malta International,Good,13,Warm,28,Hot,50,Very Dry,3000,Very High Sunshine,Good,Very Large,Excellent,Excellent,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Good,Excellent,Good,Good,Average,Good,"Island, English-Speaking, EU, Sunny, Diving, Small, Gaming/iGaming Hub",18,22,160,1200,Good,20,25,Good,Good,Low,Medium,519562,Yes,Nomad Residence Permit,1 year,2700,Good,Non-Schengen EU
Malaga,Spain,Southern Europe,free,1250,Moderate,100-200,Good,Moderate,Good,Good,Good,Excellent,AGP - Costa del Sol,Good,13,Warm,28,Hot,50,Very Dry,2901,Very High Sunshine,Average,Large,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Excellent,Good,Average,Average,Good,"Sunny, Beach, Retirement, Costa del Sol, Affordable, Year-round Sun, Relaxed",18,21,145,1100,Good,17,35,Good,Good,Good,Medium,578460,Yes,Spanish DNV (Startups Law),1+3+2 years,2130,Good,Schengen Area
Nice,France,Western Europe,free,1900,Expensive,100-200,Good,Moderate,Excellent,Good,Good,Good,NCE - Cote d Azur,Good,9,Mild,26,Warm,90,Moderate,2724,Very High Sunshine,Average,Medium,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Excellent,Good,Good,Excellent,Good,Good,Average,Good,"French Riviera, Beach, Expensive, Elegant, Mediterranean, Art, Glamorous",15,18,200,1700,Good,26,50,Good,Good,Good,Medium,342669,No,Talent Passport,4 years,3570,Moderate,Schengen Area
Sarajevo,Bosnia,Southern Europe,free,700,Very Affordable,50-100,Average,Very Few,Average,Average,Average,Good,SJJ - Sarajevo International,Low,0,Cold,24,Warm,110,Rainy,1800,Moderate Sunshine,Average,Small,Average,Average,Average,Average,Average,Average,Average,Good,Average,Good,Average,Average,Good,Average,Low,Low,Average,"Affordable, Historic, Ottoman, Austro-Hungarian, Mountains, War History",12,13,80,650,Moderate,12,20,Low,Moderate,Good,Medium,275524,No,Temp Residence Permit,1 year,0,Low,Non-Schengen Non-EU
Tirana,Albania,Southern Europe,free,750,Very Affordable,50-120,Average,Very Few,Average,Average,Average,Good,TIA - Mother Teresa,Average,8,Mild,28,Hot,120,Very Rainy,2500,High Sunshine,Average,Growing,Average,Average,Good,Good,Good,Average,Average,Good,Good,Good,Average,Good,Excellent,Average,Low,Low,Average,"Cheap, Mountains, Beach Access, Albanian Alps, Developing, Colorful, Chaotic",15,17,90,700,Moderate,12,20,Low,Moderate,Moderate,High,800000,No,Residence Permit Type D,1 year,0,Moderate,Non-Schengen Non-EU
Brno,Czech Republic,Central Europe,free,950,Affordable,80-150,Good,Few,Good,Good,Good,Good,BRQ - Turany,Average,0,Cold,22,Mild,90,Moderate,1900,Good Sunshine,Low,Medium,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Average,Good,Good,Good,Average,Average,Good,"Students, Tech, Affordable, Quieter Prague, University, Central, Underrated",11,11,120,850,Moderate,14,22,Good,Good,Good,Low,382405,Yes,Zivno Trade License,2 years,5350,Good,Schengen Area
Gdansk,Poland,Central Europe,free,1000,Affordable,100-200,Good,Few,Good,Good,Good,Good,GDN - Lech Walesa,Average,0,Cold,20,Mild,100,Rainy,1600,Moderate Sunshine,Low,Small,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Average,Good,Good,Good,Average,Average,Good,"Baltic, Hanseatic, Beach, Historic, Solidarity, Amber, Coastal, Authentic",9,10,115,850,Good,13,20,Moderate,Good,Good,Low-Medium,486492,No,Business/Temp Residence,1-3 years,0,Moderate,Schengen Area
Ljubljana,Slovenia,Central Europe,free,1300,Moderate,100-200,Good,Few,Good,Good,Excellent,Excellent,LJU - Joze Pucnik,Average,1,Cold,24,Warm,100,Rainy,1900,Good Sunshine,Average,Small,Good,Good,Average,Good,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Excellent,Good,Average,Average,Good,"Green, Dragon, Small, Central, Alps, Safe, Clean, Charming, Compact",12,12,150,1100,Moderate,18,35,Good,Excellent,Excellent,Low,295504,No,Self-Employment Residence,1-2 years,4000,Moderate,Schengen Area
Cluj-Napoca,Romania,Eastern Europe,free,850,Very Affordable,150-300,Excellent,Few,Average,Good,Good,Good,CLJ - Avram Iancu,Average,-2,Cold,23,Mild,100,Rainy,1900,Good Sunshine,Average,Medium,Good,Good,Good,Good,Good,Average,Good,Good,Good,Good,Average,Good,Good,Good,Good,Good,Good,"Tech Hub, Students, Transylvania, Affordable, Romanian Silicon Valley, Growing",11,11,95,700,Moderate,12,18,Low,Moderate,Good,Medium,321687,No,Long-Stay D Visa,1 year,3300,Moderate,Non-Schengen EU
Wroclaw,Poland,Central Europe,free,1000,Affordable,120-200,Good,Moderate,Good,Good,Good,Excellent,WRO - Nicolaus Copernicus,Average,-1,Cold,22,Mild,100,Rainy,1650,Moderate Sunshine,Low,Medium,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Good,Good,Good,Average,Average,Good,"Dwarfs, Market Square, Gnomes, Beautiful, Students, Affordable, Charming",10,10,120,850,Good,13,20,Moderate,Good,Good,Medium,674132,No,Business/Temp Residence,1-3 years,0,Moderate,Schengen Area
Seville,Spain,Southern Europe,free,1200,Affordable,100-150,Good,Few,Good,Good,Good,Good,SVQ - San Pablo,Good,11,Mild,32,Very Hot,50,Very Dry,2917,Very High Sunshine,Average,Medium,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Good,Good,Average,Average,Good,"Flamenco, Tapas, Hot Summers, Authentic, Culture, Feria, Passionate, Traditional",19,22,130,1000,Good,16,35,Good,Good,Good,High,685976,Yes,Spanish DNV (Startups Law),1+3+2 years,2130,Good,Schengen Area
Granada,Spain,Southern Europe,free,1000,Affordable,80-150,Good,Few,Good,Good,Good,Excellent,GRX - Federico Garcia Lorca,Average,8,Mild,30,Hot,80,Moderate,2900,Very High Sunshine,Low,Medium,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Excellent,Good,Average,Average,Good,"Alhambra, Moorish, Mountains, Sierra Nevada, Tapas Free, Students, Affordable",16,18,110,900,Moderate,14,30,Good,Good,Good,Medium,232462,Yes,Spanish DNV (Startups Law),1+3+2 years,2130,Good,Schengen Area
Naples,Italy,Southern Europe,free,1100,Affordable,50-120,Average,Few,Good,Average,Average,Good,NAP - Capodichino,Good,9,Mild,28,Hot,100,Rainy,2500,High Sunshine,Good,Small,Average,Average,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Excellent,Good,Average,Average,Good,"Pizza, Authentic, Chaotic, Vesuvius, Amalfi Coast, Gritty, Real Italy",17,19,130,1000,Moderate,16,40,Moderate,Moderate,Moderate,High,909048,No,Elective Residence Visa,1 year,31000,Poor,Schengen Area
Thessaloniki,Greece,Southern Europe,free,1000,Affordable,80-150,Good,Few,Good,Good,Average,Good,SKG - Macedonia,Average,6,Cool,28,Hot,90,Moderate,2400,High Sunshine,Average,Small,Average,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Average,Average,Good,"Waterfront, Students, Affordable, Byzantine, Relaxed, Food Scene, Coastal",15,18,110,800,Moderate,14,25,Moderate,Moderate,Moderate,Medium,325182,Yes,DNV Law 4825/2021,1+1 years,3500,Good,Schengen Area
Plovdiv,Bulgaria,Eastern Europe,free,700,Very Affordable,80-150,Good,Very Few,Average,Average,Good,Good,PDV - Plovdiv,Low,0,Cold,24,Warm,100,Rainy,2100,Good Sunshine,Low,Small,Average,Average,Average,Average,Average,Good,Good,Good,Average,Good,Average,Average,Good,Average,Low,Low,Average,"Ancient, Roman, Affordable, Cultural Capital 2019, Artistic, Hills, Authentic",14,15,85,550,Low,10,15,Low,Moderate,Moderate,Medium,346893,No,D Visa/Residence,1 year,2000,Moderate,Non-Schengen EU
Funchal,Madeira,Southern Europe,free,1400,Moderate,100-200,Good,Few,Good,Average,Good,Good,FNC - Cristiano Ronaldo,Good,17,Warm,23,Mild,80,Moderate,1900,Good Sunshine,Good,Large,Good,Good,Average,Good,Good,Good,Good,Excellent,Good,Good,Good,Good,Excellent,Good,Average,Average,Excellent,"Island Paradise, Digital Nomad Hub, Year-round Spring, Nature, Levadas, Remote",19,22,130,1000,Moderate,18,30,Good,Good,Excellent,Low,111892,Yes,D7/D8 Visa,2 years,3040,Good,Schengen Area
Las Palmas,Gran Canaria,Southern Europe,free,1300,Moderate,100-200,Good,Few,Good,Good,Good,Excellent,LPA - Gran Canaria,Good,18,Warm,24,Warm,40,Very Dry,2890,Very High Sunshine,Average,Large,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Good,Excellent,Good,Average,Average,Excellent,"Year-round Beach Weather, Canary Islands, Digital Nomad Hotspot, Surf, Eternal Spring",21,23,140,1100,Good,16,30,Good,Excellent,Good,Medium,378517,Yes,Spanish DNV (Startups Law),1+3+2 years,2130,Excellent,Schengen Area
Coimbra,Portugal,Southern Europe,free,1000,Affordable,100-200,Good,Very Few,Good,Good,Good,Good,No major international,Low,9,Mild,25,Warm,110,Rainy,2200,Good Sunshine,Low,Small,Good,Good,Average,Average,Average,Good,Good,Good,Good,Good,Good,Good,Good,Average,Average,Average,Good,"University, Students, Historic, River, Authentic, Affordable, Academic, Traditional",16,17,100,750,Moderate,13,25,Good,Good,Good,Low-Medium,143396,Yes,D7/D8 Visa,2 years,3040,Good,Schengen Area
Timisoara,Romania,Eastern Europe,free,800,Very Affordable,120-250,Good,Few,Average,Good,Good,Good,TSR - Traian Vuia,Low,0,Cold,24,Warm,100,Rainy,1900,Good Sunshine,Low,Small,Average,Good,Good,Good,Good,Average,Good,Good,Average,Good,Average,Average,Good,Average,Average,Average,Average,"Little Vienna, Affordable, Architecture, Cultural, Revolution 1989, Underrated",13,13,85,600,Moderate,11,16,Low,Moderate,Good,Medium,319279,No,Long-Stay D Visa,1 year,3300,Low-Moderate,Non-Schengen EU
Bratislava,Slovakia,Central Europe,free,1200,Affordable,100-200,Good,Few,Good,Good,Good,Good,BTS - M. R. Stefanik,Average,1,Cold,24,Warm,90,Moderate,1900,Good Sunshine,Low,Small,Good,Good,Average,Average,Average,Good,Good,Excellent,Good,Good,Average,Good,Good,Average,Average,Average,Good,"Compact, Vienna Access, Danube, Castle, Affordable, Small, Central, Underrated",13,12,140,1000,Moderate,16,30,Moderate,Good,Good,Low-Medium,475503,No,Self-Employment Residence,1-3 years,0,Moderate,Schengen Area
Nicosia,Cyprus,Southern Europe,free,1400,Moderate,50-120,Good,Few,Good,Average,Average,Good,LCA - Larnaca (nearby),Average,12,Mild,30,Hot,90,Moderate,3000,Very High Sunshine,Low,Medium,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Good,Good,Good,Good,Average,Average,Average,Good,"Divided City, Tax Haven, Year-round Sun, British Influence, English-Friendly",19,24,160,1100,Moderate,18,35,Moderate,Moderate,Low,Medium,330000,Yes,Digital Nomad Visa,1+1 years,3500,Good,Non-Schengen EU
Groningen,Netherlands,Northern Europe,free,1500,Moderate,150-300,Excellent,Few,Good,Excellent,Excellent,Excellent,GRQ - Eelde,Low,2,Cold,20,Mild,100,Rainy,1600,Moderate Sunshine,Low,Small,Good,Excellent,Average,Good,Good,Good,Excellent,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,"Students, Bikes, Affordable Dutch City, University, Young, Sustainable, Compact",10,10,200,1100,Moderate,22,45,Excellent,Excellent,Excellent,Low,233218,No,HSM/Self-Employment,1-5 years,0,Moderate,Schengen Area
Innsbruck,Austria,Western Europe,free,1700,Expensive,100-200,Good,Very Few,Good,Good,Excellent,Good,INN - Innsbruck,Average,-2,Cold,23,Mild,110,Rainy,1900,Good Sunshine,Low,Small,Good,Good,Average,Average,Average,Excellent,Excellent,Excellent,Good,Good,Good,Excellent,Excellent,Good,Average,Average,Good,"Alps, Skiing, Mountain Sports, Olympic City, Nature, Austrian Culture, Small",10,10,180,1400,Moderate,24,55,Good,Excellent,Excellent,Low,132493,No,Red-White-Red Card,2 years,0,Moderate,Schengen Area
Cork,Ireland,Western Europe,free,1600,Moderate,150-300,Good,Few,Good,Good,Good,Good,ORK - Cork,Good,6,Cool,18,Cool,90,Moderate,1300,Low Sunshine,Low,Small,Good,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,"Rebel City, Friendlier Dublin, English, Food Scene, Smaller, Authentic, Coastal",10,11,200,1500,Moderate,25,80,Good,Excellent,Good,Low-Medium,210000,No,Critical Skills,2 years,0,Poor,Non-Schengen EU
Aarhus,Denmark,Northern Europe,free,2000,Expensive,150-300,Excellent,Moderate,Good,Excellent,Excellent,Good,AAR - Aarhus,Average,1,Cold,19,Cool,110,Rainy,1700,Moderate Sunshine,Low,Medium,Good,Excellent,Good,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Good,"Student City, Culture, Smaller Copenhagen, Affordable Danish, Design, Harbor",8,9,280,1800,Moderate,30,65,Excellent,Excellent,Excellent,Low,285273,No,Work/Residence Permit,1-4 years,4600,Poor,Schengen Area
